gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,No,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No
Male,No,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No
Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes
Male,No,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No
Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes
Female,No,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes
Male,No,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No
Female,No,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No
Female,No,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes
Male,No,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No
Male,No,No,Yes,31,No,No phone service,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),80.67,1328.19,No
Female,Yes,Yes,No,21,No,No,DSL,No,No,Yes,Yes,No,Yes,One year,No,Electronic check,71.03,1609.85,No
Female,Yes,No,Yes,60,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),72.6,582.52,Yes
Female,Yes,No,Yes,64,Yes,No,No,No,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),112.28,3239.3,Yes
Male,No,No,Yes,63,No,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),38.54,8162.64,Yes
Male,No,Yes,No,29,No,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Mailed check,60.25,188.25,Yes
Female,Yes,No,Yes,68,Yes,No phone service,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),71.39,8004.63,Yes
Male,No,No,No,6,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),89.59,7341.8,No
Male,No,No,Yes,21,No,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Mailed check,90.18,2265.86,Yes
Female,No,Yes,No,9,No,No phone service,No,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),62.75,2796.75,No
Male,No,No,Yes,52,No,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),117.02,7259.01,Yes
Male,No,No,Yes,61,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),92.16,6406.96,Yes
Male,Yes,Yes,Yes,5,No,No,No,No,Yes,No,No,No,No,Two year,Yes,Mailed check,84.85,9320.15,No
Male,No,Yes,No,20,No,No,DSL,No,Yes,No,Yes,No,Yes,One year,No,Mailed check,49.56,5090.65,Yes
Male,Yes,No,No,7,Yes,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Electronic check,31.88,6595.87,No
Male,No,Yes,Yes,65,No,No,No,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,59.1,6219.51,No
Female,No,No,No,41,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),89.33,7013.56,No
Female,Yes,No,Yes,37,Yes,No phone service,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),75.32,7664.43,No
Female,No,Yes,No,59,Yes,No phone service,DSL,No,No,No,No,No,Yes,One year,Yes,Mailed check,113.59,8250.97,Yes
Male,Yes,No,Yes,45,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Mailed check,46.98,5286.87,Yes
Female,Yes,No,No,19,Yes,No phone service,No,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,36.47,2843.34,Yes
Female,Yes,No,No,72,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),52.97,8093.96,No
Female,No,No,Yes,67,Yes,No phone service,No,No,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,92.4,6169.94,Yes
Male,Yes,No,Yes,21,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,89.95,8963.09,Yes
Male,Yes,No,Yes,19,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),34.87,2915.68,No
Female,Yes,No,Yes,34,No,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,36.91,9179.72,Yes
Female,Yes,No,No,23,No,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),23.09,7818.8,No
Male,Yes,No,Yes,66,Yes,No phone service,No,Yes,No,No,Yes,Yes,No,One year,No,Credit card (automatic),79.41,5716.25,No
Male,Yes,Yes,No,20,No,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),66.17,9872.06,Yes
Male,Yes,Yes,Yes,49,No,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,97.21,3631.68,No
Male,No,Yes,Yes,4,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,99.7,1650.56,No
Male,Yes,Yes,No,35,No,No,No,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,54.43,1108.39,No
Male,No,No,No,35,No,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,Mailed check,51.47,6213.42,No
Female,No,Yes,Yes,38,No,No,No,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),118.82,5884.84,Yes
Female,Yes,Yes,No,58,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,114.25,4099.26,No
Male,Yes,No,Yes,7,No,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),48.21,3882.96,Yes
Female,No,No,No,62,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),109.64,3541.32,Yes
Male,No,Yes,Yes,68,No,No phone service,No,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,29.39,8832.6,No
Male,No,No,Yes,18,No,No,No,No,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),76.19,1382.22,No
Female,No,No,No,43,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),82.61,3267.42,Yes
Female,No,No,No,32,No,No phone service,No,Yes,Yes,No,No,Yes,Yes,Two year,No,Mailed check,28.21,4747.05,No
Female,Yes,No,No,69,No,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.82,8413.58,No
Male,No,Yes,Yes,5,No,No phone service,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,81.43,4603.33,No
Female,Yes,No,No,55,Yes,No phone service,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),82.53,6060.85,Yes
Male,No,Yes,Yes,10,No,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),109.44,642.88,No
Female,No,No,No,66,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,93.18,2096.83,No
Male,No,No,Yes,14,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),73.42,9855.33,Yes
Female,Yes,No,No,35,No,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),87.07,9930.09,Yes
Male,No,Yes,No,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,92.9,4166.73,No
Male,No,Yes,No,3,No,No phone service,No,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,92.69,5416.1,Yes
Male,No,Yes,No,18,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),101.08,5417.81,No
Female,Yes,Yes,Yes,31,No,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,84.73,6049.76,Yes
Male,Yes,Yes,Yes,40,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Electronic check,21.44,2664.01,Yes
Male,No,No,No,64,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),93.78,3913.06,No
Female,Yes,No,Yes,25,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,40.24,3344.39,No
Female,No,Yes,No,35,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,64,4216.19,Yes
Male,No,Yes,Yes,4,No,No phone service,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,74.52,8295.13,No
Female,Yes,Yes,Yes,15,Yes,No phone service,No,Yes,No,No,Yes,Yes,No,Two year,Yes,Mailed check,21.25,3624.7,No
Female,No,No,No,54,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,56.79,1204.54,Yes
Female,Yes,No,No,52,Yes,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),95.89,9930.41,Yes
Female,No,No,No,64,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,119.8,6601.3,Yes
Female,Yes,Yes,No,43,Yes,No phone service,No,Yes,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),59.4,7399.65,Yes
Male,Yes,Yes,No,6,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),113.43,7920.63,No
Male,No,Yes,Yes,59,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,57.73,268.65,Yes
Male,No,Yes,Yes,57,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,No,Bank transfer (automatic),111.73,2375.69,Yes
Female,No,No,Yes,71,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,86.91,9119.2,Yes
Female,No,Yes,Yes,69,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Mailed check,42.97,3400.93,Yes
Female,Yes,No,Yes,60,No,Yes,No,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),77.75,6347.73,No
Female,No,Yes,No,34,No,No,No,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,91.74,7172.17,No
Female,Yes,No,Yes,36,No,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),78.79,8299.37,Yes
Male,No,Yes,No,41,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Mailed check,71.06,2140.12,No
Female,No,Yes,No,8,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,79.27,8462.74,No
Female,Yes,No,No,25,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,49.87,689.93,No
Female,No,No,No,7,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),90.6,8748.74,Yes
Male,Yes,No,No,8,Yes,Yes,No,Yes,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),52.55,7586.21,No
Female,Yes,Yes,Yes,64,No,No phone service,No,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),92.56,3810.03,Yes
Female,Yes,Yes,No,22,Yes,No phone service,No,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),49.93,8090.95,No
Female,Yes,No,No,1,Yes,No phone service,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,63.48,498.87,No
Male,No,No,Yes,67,No,Yes,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,115.45,555.59,No
Male,No,No,No,69,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),115.9,9670.74,Yes
Female,Yes,Yes,No,57,Yes,No phone service,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),107.26,1313.02,Yes
Female,Yes,Yes,Yes,36,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,59.73,3141.84,No
Male,Yes,No,No,1,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),96.27,7823.1,No
Female,No,No,Yes,70,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,108.91,2911.78,No
Male,No,No,Yes,20,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Mailed check,68.62,3205.89,No
Male,No,Yes,Yes,1,No,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),108.55,3125.8,Yes
Male,No,No,No,69,No,No phone service,No,Yes,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),35.37,6775.08,Yes
Male,No,Yes,No,3,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),86.28,9506.77,Yes
Male,Yes,No,Yes,19,No,No phone service,No,No,No,Yes,Yes,No,No,One year,Yes,Mailed check,85.78,7901.45,Yes
Male,No,No,No,34,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,23.13,7589.5,Yes
Male,No,Yes,Yes,20,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,119.3,7737.86,Yes
Female,Yes,Yes,No,54,Yes,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),52.2,4026.78,Yes
Male,Yes,No,Yes,50,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Two year,No,Mailed check,96.77,1889.28,Yes
Female,Yes,Yes,No,27,Yes,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,98.37,5387.95,Yes
Female,Yes,No,Yes,46,No,Yes,No,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,65.62,5027.4,Yes
Male,Yes,Yes,No,16,Yes,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),103.8,9346.59,No
Female,No,No,No,60,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),58.44,244.16,Yes
Female,No,Yes,Yes,39,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),73.32,2155.65,No
Male,Yes,Yes,Yes,32,Yes,No phone service,DSL,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,47.78,70.69,Yes
Male,No,Yes,Yes,17,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),116.64,4331.21,No
Male,No,Yes,No,26,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,55.19,4945.98,No
Female,Yes,Yes,No,71,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,37.96,4584.06,No
Female,No,Yes,Yes,6,No,No,No,Yes,No,No,Yes,No,No,Two year,Yes,Mailed check,106.98,222.29,No
Male,Yes,Yes,No,33,Yes,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,105.31,919.15,Yes
Male,No,No,No,70,No,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.09,5555.91,Yes
Female,Yes,Yes,Yes,60,No,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,58.62,7847.85,No
Male,Yes,No,Yes,38,No,Yes,No,No,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,25.42,9773.89,Yes
Male,No,Yes,No,65,No,Yes,No,No,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),47.78,7305.98,Yes
Male,No,No,No,17,Yes,No,No,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.43,6613.05,No
Male,Yes,Yes,Yes,29,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,52.49,5974.3,Yes
Female,No,No,No,56,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),91.69,8906.95,No
Male,No,No,Yes,24,No,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,50.37,4260.6,Yes
Female,Yes,No,No,30,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),49.77,5880.7,No
Male,No,No,No,40,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),58.37,8433.88,No
Male,Yes,No,Yes,70,No,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),56.45,1189.17,Yes
Male,Yes,Yes,Yes,55,Yes,No phone service,No,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),67.42,4085.87,No
Female,No,Yes,Yes,7,No,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),107.53,6716.3,No
Female,No,Yes,Yes,51,Yes,Yes,No,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),83.69,5389.07,No
Female,No,Yes,No,55,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,87.27,247.65,No
Male,Yes,No,Yes,46,No,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,106.13,8034.28,No
Male,Yes,Yes,Yes,27,No,No phone service,No,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,78.71,7256.54,No
Male,Yes,Yes,Yes,39,No,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,No,Credit card (automatic),92.19,8027.22,No
Male,Yes,Yes,Yes,59,No,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),111.77,8804.4,No
Male,Yes,Yes,No,62,Yes,Yes,No,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,112.01,707.58,Yes
Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),88.01,4467.12,Yes
Male,Yes,Yes,No,65,No,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),110.46,526.9,Yes
Female,Yes,Yes,Yes,41,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),26.85,7950.77,Yes
Female,Yes,No,Yes,18,No,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),66.43,1013.69,No
Male,No,No,No,14,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),111.74,2132.95,Yes
Male,Yes,Yes,No,46,No,No,No,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),73.78,81.82,No
Male,Yes,Yes,Yes,72,Yes,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,78.72,3609.55,No
Male,Yes,Yes,No,70,No,Yes,No,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),96.98,1264.85,No
